//Index	Type	Map	SX	SY	EX	EY	Target	Dir	Level	MaxLevel
1	1	0	121	232	123	233	2	0	20	400
2	2	1	107	247	110	247	0	1	20	400
3	1	1	108	248	109	248	4	0	0	400
4	2	0	121	231	123	231	0	1	0	400
5	1	1	239	149	239	150	6	0	20	400
6	2	1	231	126	234	127	0	1	20	400
7	1	1	232	127	233	128	8	0	20	400
8	2	1	240	148	241	151	0	3	20	400
9	1	1	2	17	2	18	10	0	20	400
10	2	1	3	83	4	86	0	3	20	400
11	1	1	2	84	2	85	12	0	20	400
12	2	1	3	16	6	17	0	3	20	400
13	1	1	5	34	6	34	14	0	20	400
14	2	1	29	125	30	126	0	1	20	400
15	1	1	29	127	30	127	16	0	20	400
16	2	1	5	32	7	33	0	1	20	400
17	0	0	133	118	151	135	0	0	0	400
18	1	0	5	38	6	41	19	0	15	400
19	2	2	242	34	243	37	0	7	15	400
20	1	2	244	34	245	37	21	0	0	400
21	2	0	7	38	8	41	0	3	0	400
22	0	2	197	35	218	50	0	0	15	400
23	1	0	213	246	217	247	24	0	10	400
24	2	3	148	5	155	6	0	5	10	400
25	1	3	148	3	155	4	26	0	10	400
26	2	0	213	244	217	245	0	1	10	400
27	0	3	171	108	177	117	0	0	0	400
28	1	2	2	248	3	249	29	0	40	400
29	2	4	162	2	166	3	0	5	40	400
30	1	4	190	6	191	8	31	0	40	400
31	2	4	241	237	244	238	0	1	40	400
32	1	4	166	163	167	166	33	0	40	400
33	2	4	86	166	87	168	0	3	40	400
34	1	4	132	245	135	246	35	0	50	400
35	2	4	87	86	88	89	0	3	50	400
36	1	4	132	135	135	136	37	0	50	400
37	2	4	128	53	131	54	0	1	50	400
38	1	4	131	15	132	18	39	0	50	400
39	2	4	52	53	55	54	0	1	50	400
40	1	4	6	5	7	8	41	0	50	400
41	2	4	8	85	9	87	0	1	50	400
42	0	4	203	70	213	81	0	0	40	400
43	1	4	162	0	166	1	44	0	15	400
44	2	2	2	246	3	247	0	2	15	400
45	1	3	242	240	245	243	46	0	60	220
46	2	7	14	12	15	13	0	3	60	220
47	1	7	9	9	11	12	48	0	60	400
48	2	3	240	240	241	243	0	7	60	400
49	0	7	15	11	27	23	0	0	60	400
50	0	6	72	140	73	181	0	0	0	400
51	0	6	59	153	59	153	0	0	0	400
52	0	6	59	164	59	165	0	0	0	400
53	1	7	14	225	15	230	54	0	130	400
54	2	8	248	40	251	44	0	7	0	400
55	1	8	246	40	247	44	56	0	130	220
56	2	7	16	225	17	230	0	3	0	220
57	0	8	187	54	203	69	0	0	60	400
58	0	9	133	91	141	99	0	0	10	400
59	0	9	135	162	142	170	0	0	10	400
60	0	9	62	150	70	158	0	0	10	400
61	0	9	66	84	74	92	0	0	10	400
62	1	4	17	250	19	250	63	0	160	400
63	2	10	14	13	16	13	0	5	160	400
64	1	10	14	12	16	12	65	0	50	400
65	2	4	17	249	19	249	0	1	50	400
66	0	11	12	5	14	10	0	0	0	400
67	0	12	12	5	14	10	0	0	0	400
68	0	13	12	5	14	10	0	0	0	400
69	0	14	12	5	14	10	0	0	0	400
70	0	15	12	5	14	10	0	0	0	400
71	0	16	12	5	14	10	0	0	0	400
72	0	2	23	27	27	24	0	0	15	400
73	0	2	224	231	227	227	0	0	15	400
74	0	2	69	181	72	178	0	0	15	400
75	0	7	225	53	228	50	0	0	60	400
76	0	7	62	163	68	157	0	0	60	400
77	0	8	96	143	100	146	0	0	130	400
80	0	17	12	5	14	10	0	0	0	400
82	0	18	31	88	36	95	0	0	0	400
83	0	19	31	88	36	95	0	0	0	400
84	0	20	31	88	36	95	0	0	0	400
85	0	21	31	88	36	95	0	0	0	400
86	0	22	31	88	36	95	0	0	0	400
87	0	23	31	88	36	95	0	0	0	400
88	0	24	10	16	17	22	0	0	0	400
89	0	25	10	16	17	22	0	0	0	400
90	0	26	10	16	17	22	0	0	0	400
91	0	27	10	16	17	22	0	0	0	400
92	0	28	10	16	17	22	0	0	0	400
93	0	29	10	16	17	22	0	0	0	400
94	0	30	88	31	102	46	0	0	0	400
95	0	31	60	10	69	19	0	0	0	400
96	1	30	93	242	95	243	97	0	0	400
97	2	30	164	198	187	209	0	0	0	400
98	1	30	160	203	161	205	99	0	0	400
99	2	30	90	236	99	239	0	0	0	400
100	0	30	39	14	142	50	0	0	0	400
101	0	30	84	180	100	222	0	0	0	400
102	1	0	239	14	240	15	103	0	10	400
103	2	30	29	42	30	37	0	0	10	400
104	0	30	87	209	100	232	0	0	0	400
105	0	30	72	10	104	199	0	0	0	400
106	0	30	131	94	138	92	0	0	0	400
107	1	30	28	40	28	41	108	0	0	400
108	2	0	235	13	239	13	0	0	0	400
109	1	31	59	7	63	8	110	0	0	400
110	2	30	131	94	138	92	0	0	0	400
111	0	32	133	91	141	99	0	0	10	400
112	0	32	135	162	142	170	0	0	10	400
113	2	33	76	9	78	16	0	0	10	400
114	2	34	231	37	234	45	0	0	10	400
116	0	36	10	16	17	22	0	0	0	400
117	1	30	161	37	165	45	114	0	10	400
118	0	34	229	37	239	46	0	0	10	400
119	0	33	82	8	87	14	0	0	130	400
120	1	3	220	30	226	30	113	0	130	400
121	1	33	74	9	74	13	122	0	10	400
122	2	3	220	31	226	34	0	0	10	400
123	1	34	239	40	240	44	124	0	10	400
124	2	30	155	37	158	43	0	0	10	400
125	1	8	6	199	6	201	126	0	150	350
126	2	37	17	219	21	220	0	0	150	350
127	1	37	17	220	19	222	128	0	130	400
128	2	8	7	199	7	201	0	0	130	400
129	1	37	89	89	89	92	130	0	220	400
130	2	38	70	104	70	107	0	0	220	400
131	1	38	69	104	69	107	132	0	150	350
132	2	37	85	89	86	92	0	0	150	350
133	0	39	196	56	201	57	0	0	220	400
134	0	39	78	93	82	95	0	0	220	400
135	0	39	78	93	82	95	0	0	220	400
136	0	38	137	162	143	163	0	0	220	400
137	0	38	71	104	72	107	0	0	220	400
138	0	37	19	217	21	219	0	0	160	400
139	0	38	71	104	72	107	0	0	230	400
140	0	33	186	173	190	177	0	0	130	400
141	0	37	205	36	208	41	0	0	160	400
142	0	45	98	128	108	137	0	0	0	400
143	0	46	98	128	108	137	0	0	0	400
144	0	47	98	128	108	137	0	0	0	400
145	0	48	98	128	108	137	0	0	0	400
146	0	49	98	128	108	137	0	0	0	400
147	0	50	98	128	108	137	0	0	0	400
148	0	45	141	41	146	45	0	0	0	400
149	0	46	141	41	146	45	0	0	0	400
150	0	47	141	41	146	45	0	0	0	400
151	0	48	141	41	146	45	0	0	0	400
152	0	49	141	41	146	45	0	0	0	400
153	0	50	141	41	146	45	0	0	0	400
154	0	45	194	124	198	127	0	0	0	400
155	0	46	194	124	198	127	0	0	0	400
156	0	47	194	124	198	127	0	0	0	400
157	0	48	194	124	198	127	0	0	0	400
158	0	49	194	124	198	127	0	0	0	400
159	0	50	194	124	198	127	0	0	0	400
160	1	45	136	100	137	101	161	0	0	400
161	2	45	170	101	170	103	0	0	0	400
162	1	45	150	117	152	119	163	0	0	400
163	2	45	149	84	152	84	0	0	0	400
164	1	45	149	88	151	89	165	0	0	400
165	2	45	149	122	151	122	0	0	0	400
166	1	45	165	101	166	104	167	0	0	400
167	2	45	132	99	132	103	0	0	0	400
168	1	45	173	65	174	68	169	0	0	400
169	2	45	207	65	207	68	0	0	0	400
170	1	45	186	79	189	81	171	0	0	400
171	2	45	186	47	189	47	0	0	0	400
172	1	45	186	51	188	52	173	0	0	400
173	2	45	186	84	189	84	0	0	0	400
174	1	45	202	66	203	68	175	0	0	400
175	2	45	169	65	169	68	0	0	0	400
176	1	46	136	100	137	101	177	0	0	400
177	2	46	170	101	170	103	0	0	0	400
178	1	46	150	117	152	119	179	0	0	400
179	2	46	149	84	152	84	0	0	0	400
180	1	46	149	88	151	89	181	0	0	400
181	2	46	149	122	151	122	0	0	0	400
182	1	46	165	101	166	104	183	0	0	400
183	2	46	132	99	132	103	0	0	0	400
184	1	46	173	65	174	68	185	0	0	400
185	2	46	207	65	207	68	0	0	0	400
186	1	46	186	79	189	81	187	0	0	400
187	2	46	186	47	189	47	0	0	0	400
188	1	46	186	51	188	52	189	0	0	400
189	2	46	186	84	189	84	0	0	0	400
190	1	46	202	66	203	68	191	0	0	400
191	2	46	169	65	169	68	0	0	0	400
192	1	47	136	100	137	101	193	0	0	400
193	2	47	170	101	170	103	0	0	0	400
194	1	47	150	117	152	119	195	0	0	400
195	2	47	149	84	152	84	0	0	0	400
196	1	47	149	88	151	89	197	0	0	400
197	2	47	149	122	151	122	0	0	0	400
198	1	47	165	101	166	104	199	0	0	400
199	2	47	132	99	132	103	0	0	0	400
200	1	47	173	65	174	68	201	0	0	400
201	2	47	207	65	207	68	0	0	0	400
202	1	47	186	79	189	81	203	0	0	400
203	2	47	186	47	189	47	0	0	0	400
204	1	47	186	51	188	52	205	0	0	400
205	2	47	186	84	189	84	0	0	0	400
206	1	47	202	66	203	68	207	0	0	400
207	2	47	169	65	169	68	0	0	0	400
208	1	48	136	100	137	101	209	0	0	400
209	2	48	170	101	170	103	0	0	0	400
210	1	48	150	117	152	119	211	0	0	400
211	2	48	149	84	152	84	0	0	0	400
212	1	48	149	88	151	89	213	0	0	400
213	2	48	149	122	151	122	0	0	0	400
214	1	48	165	101	166	104	215	0	0	400
215	2	48	132	99	132	103	0	0	0	400
216	1	48	173	65	174	68	217	0	0	400
217	2	48	207	65	207	68	0	0	0	400
218	1	48	186	79	189	81	219	0	0	400
219	2	48	186	47	189	47	0	0	0	400
220	1	48	186	51	188	52	221	0	0	400
221	2	48	186	84	189	84	0	0	0	400
222	1	48	202	66	203	68	223	0	0	400
223	2	48	169	65	169	68	0	0	0	400
224	1	49	136	100	137	101	225	0	0	400
225	2	49	170	101	170	103	0	0	0	400
226	1	49	150	117	152	119	227	0	0	400
227	2	49	149	84	152	84	0	0	0	400
228	1	49	149	88	151	89	229	0	0	400
229	2	49	149	122	151	122	0	0	0	400
230	1	49	165	101	166	104	231	0	0	400
231	2	49	132	99	132	103	0	0	0	400
232	1	49	173	65	174	68	233	0	0	400
233	2	49	207	65	207	68	0	0	0	400
234	1	49	186	79	189	81	235	0	0	400
235	2	49	186	47	189	47	0	0	0	400
236	1	49	186	51	188	52	237	0	0	400
237	2	49	186	84	189	84	0	0	0	400
238	1	49	202	66	203	68	239	0	0	400
239	2	49	169	65	169	68	0	0	0	400
240	1	50	136	100	137	101	241	0	0	400
241	2	50	170	101	170	103	0	0	0	400
242	1	50	150	117	152	119	243	0	0	400
243	2	50	149	84	152	84	0	0	0	400
244	1	50	149	88	151	89	245	0	0	400
245	2	50	149	122	151	122	0	0	0	400
246	1	50	165	101	166	104	247	0	0	400
247	2	50	132	99	132	103	0	0	0	400
248	1	50	173	65	174	68	249	0	0	400
249	2	50	207	65	207	68	0	0	0	400
250	1	50	186	79	189	81	251	0	0	400
251	2	50	186	47	189	47	0	0	0	400
252	1	50	186	51	188	52	253	0	0	400
253	2	50	186	84	189	84	0	0	0	400
254	1	50	202	66	203	68	255	0	0	400
255	2	50	169	65	169	68	0	0	0	400
256	0	41	29	79	31	82	0	0	0	400
257	0	42	104	178	107	181	0	0	0	400
258	0	34	227	41	229	43	0	0	0	400
259	1	2	161	245	166	246	260	0	15	400
260	2	51	26	29	27	30	0	0	15	400
261	1	51	24	29	25	30	262	0	15	400
262	2	2	161	241	163	242	0	0	15	400
263	1	7	13	19	14	20	264	0	10	400
264	2	51	243	149	244	150	0	0	10	400
265	1	51	247	149	248	150	266	0	60	220
266	2	7	16	19	17	20	0	0	60	220
267	0	51	51	224	54	227	0	0	0	400
268	0	51	99	55	100	57	0	0	10	400
269	0	51	191	148	193	150	0	0	10	400
270	0	32	62	150	70	158	0	0	10	400
271	0	52	12	5	14	10	0	0	0	400
272	0	53	31	88	36	95	0	0	0	400
273	0	56	135	105	142	111	0	0	400	400
274	1	56	139	125	139	126	275	0	400	400
275	2	56	189	190	191	193	0	0	400	400
276	1	56	185	187	186	188	273	0	400	400
277	1	56	149	109	150	109	278	0	400	400
278	2	56	204	10	206	14	0	0	400	400
279	1	56	197	12	197	14	273	0	400	400
280	1	56	139	95	140	95	281	0	400	400
281	2	56	65	47	67	48	0	0	400	400
282	1	56	68	52	69	53	273	0	400	400
283	1	56	124	109	124	110	284	0	400	400
